nome_arquivo,result_programs,result_mistral,result_llama
test_bitcount.py,0,0,1
test_breadth_first_search.py,0,0,1
test_bucketsort.py,0,0,0
test_depth_first_search.py,0,0,0
test_detect_cycle.py,0,0,0
test_find_first_in_sorted.py,0,0,1
test_find_in_sorted.py,0,0,0
test_flatten.py,0,1,0
test_gcd.py,0,1,1
test_get_factors.py,0,0,0
test_hanoi.py,0,0,0
test_is_valid_parenthesization.py,0,0,1
test_kheapsort.py,0,1,0
test_knapsack.py,0,0,0
test_kth.py,0,1,0
test_lcs_length.py,0,0,0
test_levenshtein.py,0,0,0
test_lis.py,0,0,0
test_longest_common_subsequence.py,0,0,0
test_max_sublist_sum.py,0,1,0
test_mergesort.py,0,0,0
test_minimum_spanning_tree.py,0,0,0
test_next_palindrome.py,0,0,0
test_next_permutation.py,0,0,0
test_pascal.py,0,1,0
test_possible_change.py,0,0,0
test_powerset.py,0,0,0
test_quicksort.py,0,0,1
test_reverse_linked_list.py,0,0,0
test_rpn_eval.py,0,0,0
test_shortest_path_length.py,0,0,0
test_shortest_path_lengths.py,0,0,0
test_shortest_paths.py,0,0,0
test_shunting_yard.py,0,0,0
test_sieve.py,0,0,1
test_sqrt.py,0,0,1
test_subsequences.py,0,0,0
test_to_base.py,0,0,0
test_topological_ordering.py,0,0,0
test_wrap.py,0,0,0
